position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
8,Sevilla,30,11.470588235294116,7.0588235294117645,11.470588235294116,0.038,0.045,-0.006999999999999999,33.33333333333333,1977-78
9,Salamanca,30,12.352941176470587,5.294117647058824,12.352941176470587,0.037,0.04,-0.0030000000000000027,33.33333333333333,1977-78
10,Rayo Vallecano,30,10.588235294117649,7.9411764705882355,11.470588235294116,0.05,0.059,-0.008999999999999994,32.35294117647059,1977-78
11,Real Sociedad,30,10.588235294117649,7.9411764705882355,11.470588235294116,0.052,0.046,0.005999999999999998,32.35294117647059,1977-78
12,Burgos,30,8.823529411764707,9.705882352941178,11.470588235294116,0.033,0.047,-0.013999999999999999,30.392156862745097,1977-78
13,Racing Santander,30,9.705882352941178,7.9411764705882355,12.352941176470587,0.029,0.045,-0.015999999999999997,30.392156862745097,1977-78
14,Español,30,10.588235294117649,5.294117647058824,14.117647058823529,0.048,0.06,-0.011999999999999997,29.411764705882355,1977-78
15,Hércules,30,8.823529411764707,8.823529411764707,12.352941176470587,0.032,0.04,-0.008,29.411764705882355,1977-78
16,Real Betis,30,9.705882352941178,7.0588235294117645,13.235294117647058,0.051,0.052,-0.0010000000000000009,29.411764705882355,1977-78
17,Elche,30,9.705882352941178,4.411764705882353,15.882352941176471,0.044,0.066,-0.022000000000000006,26.47058823529412,1977-78
18,Cádiz,30,6.1764705882352935,7.0588235294117645,16.764705882352942,0.03,0.069,-0.03900000000000001,21.568627450980394,1977-78
1,Real Madrid,30,14.117647058823529,13.235294117647058,2.647058823529412,0.061,0.036,0.025,46.07843137254902,1978-79
2,Sporting Gijón,30,15.0,7.9411764705882355,7.0588235294117645,0.05,0.035,0.015,42.15686274509804,1978-79
3,Atlético Madrid,30,12.352941176470587,11.470588235294116,6.1764705882352935,0.055,0.037,0.018000000000000002,40.19607843137255,1978-79
4,Real Sociedad,30,15.882352941176471,4.411764705882353,9.705882352941178,0.053,0.036,0.017,40.19607843137255,1978-79
5,Barcelona,30,14.117647058823529,5.294117647058824,10.588235294117649,0.069,0.037,0.03200000000000001,37.254901960784316,1978-79
